,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_prob,selection_index,selection_type
16,41364-83074:Dallas Goedert,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-64401:Saquon Barkley,60000,14889,13.5,15,15,15,15,0.0,0,0,0,0,0.0,0,0,0,0,73.5,0.0,0.0,233,manfppg,0.001358695652173913,16,mvp_prob
17,41364-11485:Golden Tate,41364-71845:Miles Sanders,41364-70324:Carson Wentz,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,57500,4097,22.5,15,18,9,9,0.0,0,25,0,0,0.0,0,10,0,0,73.5,25.0,10.0,225,manfppg,0.0003697131026323573,17,mvp_prob
18,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-71806:Kaden Smith,60000,1701,22.5,18,15,9,9,0.0,25,0,0,0,0.0,10,0,0,0,73.5,25.0,10.0,223,manfppg,0.0004918355301987016,18,mvp_prob
19,41364-6826:Eli Manning,41364-64401:Saquon Barkley,41364-70324:Carson Wentz,41364-41235:Jake Elliott,41364-71806:Kaden Smith,60000,1702,22.5,15,18,9,9,0.0,0,25,0,0,0.0,0,10,0,0,73.5,25.0,10.0,221,manfppg,0.000454793523740222,19,mvp_prob
20,41364-29780:Zach Ertz,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-63819:Darius Slayton,58500,18355,22.5,15,15,10,10,0.0,0,0,0,0,0.0,0,0,0,0,72.5,0.0,0.0,399,manfppg,0.0004963271788763153,20,mvp_prob
21,41364-29780:Zach Ertz,41364-64401:Saquon Barkley,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-64907:JJ Arcega-Whiteside,59500,13821,22.5,15,15,15,5,0.0,0,0,0,0,0.0,0,0,0,0,72.5,0.0,0.0,413,manfppg,0.0004963271788763153,21,mvp_prob
22,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-64907:JJ Arcega-Whiteside,60000,7481,22.5,15,15,15,5,0.0,25,0,0,0,0.0,5,0,0,0,72.5,25.0,5.0,424,manfppg,0.0004918355301987016,22,mvp_prob
23,41364-71845:Miles Sanders,41364-29780:Zach Ertz,41364-21980:Alshon Jeffery,41364-11485:Golden Tate,41364-64907:JJ Arcega-Whiteside,60000,8792,22.5,15,15,15,5,0.0,0,25,0,0,0.0,0,5,0,0,72.5,25.0,5.0,429,manfppg,0.0004454739843193157,23,mvp_prob
24,41364-63819:Darius Slayton,41364-64401:Saquon Barkley,41364-11485:Golden Tate,41364-70324:Carson Wentz,41364-70496:Aldrick Rosas,59500,1878,15.0,15,15,18,9,0.0,0,0,25,0,0.0,0,0,10,0,72.0,25.0,10.0,501,manfppg,0.0017531556802244039,24,mvp_prob
25,41364-63819:Darius Slayton,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-70324:Carson Wentz,41364-70496:Aldrick Rosas,59000,4028,15.0,15,15,18,9,0.0,0,0,25,0,0.0,0,0,10,0,72.0,25.0,10.0,515,manfppg,0.0017531556802244039,25,mvp_prob
26,41364-27477:Sterling Shepard,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-70324:Carson Wentz,41364-71806:Kaden Smith,59000,3993,15.0,15,15,18,9,0.0,0,0,25,0,0.0,0,0,10,0,72.0,25.0,10.0,513,manfppg,0.0020903010033444815,26,mvp_prob
27,41364-70324:Carson Wentz,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-63819:Darius Slayton,41364-64907:JJ Arcega-Whiteside,58500,3035,27.0,15,15,10,5,37.5,0,0,0,0,15.0,0,0,0,0,72.0,37.5,15.0,508,manfppg,0.00035637918745545257,27,mvp_prob
28,41364-63819:Darius Slayton,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-70324:Carson Wentz,41364-41235:Jake Elliott,59500,4018,15.0,15,15,18,9,0.0,0,0,25,0,0.0,0,0,10,0,72.0,25.0,10.0,507,manfppg,0.0017531556802244039,28,mvp_prob
29,41364-70324:Carson Wentz,41364-29780:Zach Ertz,41364-71845:Miles Sanders,41364-63819:Darius Slayton,41364-64907:JJ Arcega-Whiteside,60000,2675,27.0,15,15,10,5,37.5,0,0,0,0,15.0,0,0,0,0,72.0,37.5,15.0,473,manfppg,0.00035637918745545257,29,mvp_prob
30,41364-63819:Darius Slayton,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-70324:Carson Wentz,41364-41235:Jake Elliott,59500,4818,15.0,15,15,18,9,0.0,0,0,25,0,0.0,0,0,10,0,72.0,25.0,10.0,492,manfppg,0.0017531556802244039,30,mvp_prob
31,41364-63819:Darius Slayton,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-70324:Carson Wentz,41364-41235:Jake Elliott,60000,3018,15.0,15,15,18,9,0.0,0,0,25,0,0.0,0,0,10,0,72.0,25.0,10.0,472,manfppg,0.0017531556802244039,31,mvp_prob
32,41364-70324:Carson Wentz,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-64907:JJ Arcega-Whiteside,59000,2995,27.0,15,15,10,5,37.5,0,0,0,0,15.0,0,0,0,0,72.0,37.5,15.0,468,manfppg,0.00035637918745545257,32,mvp_prob
33,41364-63819:Darius Slayton,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-70324:Carson Wentz,41364-71806:Kaden Smith,58500,4833,15.0,15,15,18,9,0.0,0,0,25,0,0.0,0,0,10,0,72.0,25.0,10.0,466,manfppg,0.0017531556802244039,33,mvp_prob
34,41364-27477:Sterling Shepard,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-70324:Carson Wentz,41364-71806:Kaden Smith,59500,2993,15.0,15,15,18,9,0.0,0,0,25,0,0.0,0,0,10,0,72.0,25.0,10.0,477,manfppg,0.0020903010033444815,34,mvp_prob
35,41364-71845:Miles Sanders,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-70496:Aldrick Rosas,57500,18371,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,847,manfppg,0.0004454739843193157,35,mvp_prob
36,41364-21980:Alshon Jeffery,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-63819:Darius Slayton,41364-83074:Dallas Goedert,57500,10330,22.5,15,15,10,9,37.5,0,0,0,0,7.5,0,0,0,0,71.5,37.5,7.5,787,manfppg,0.0005434782608695652,36,mvp_prob
37,41364-71806:Kaden Smith,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-63819:Darius Slayton,41364-70324:Carson Wentz,60000,3814,13.5,15,15,10,18,0.0,0,0,0,25,0.0,0,0,0,10,71.5,25.0,10.0,800,manfppg,0.0010451505016722408,37,mvp_prob
