Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,mvp_prob,FPPG,ManFPPG,ManLo,ManHi,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
41364-23075:Alex Tanney,41364-23075,QB,Alex,Alex Tanney,Tanney,0,0,0,0,0,0,5000,NYG@PHI,NYG,PHI,DROP,,
41364-31524:Cody Core,41364-31524,WR,Cody,Cody Core,Core,0,4.300000191,0,0,0,1,5000,NYG@PHI,NYG,PHI,DROP,,
41364-52776:Marcus Green,41364-52776,WR,Marcus,Marcus Green,Green,0,0,0,0,0,0,5000,NYG@PHI,PHI,NYG,DROP,,
41364-43433:Boston Scott,41364-43433,RB,Boston,Boston Scott,Scott,0,2.879999924,0,0,0,5,5000,NYG@PHI,PHI,NYG,DROP,,
41364-55153:Garrett Dickerson,41364-55153,TE,Garrett,Garrett Dickerson,Dickerson,0,0,0,0,0,0,5000,NYG@PHI,NYG,PHI,DROP,,
41364-48371:Robert Davis,41364-48371,WR,Robert,Robert Davis,Davis,0,1.600000024,0,0,0,1,5000,NYG@PHI,PHI,NYG,DROP,,
41364-61555:David Sills V,41364-61555,WR,David,David Sills V,Sills V,0,0,0,0,0,0,5000,NYG@PHI,NYG,PHI,DROP,,
41364-30837:Jordan Matthews,41364-30837,WR,Jordan,Jordan Matthews,Matthews,0,2.650000095,0,0,0,2,5000,NYG@PHI,PHI,NYG,DROP,,
41364-40758:Corey Clement,41364-40758,RB,Corey,Corey Clement,Clement,0,-2,0,0,0,2,5000,NYG@PHI,PHI,NYG,DROP,Shoulder,
41364-103996:Reggie White Jr.,41364-103996,WR,Reggie,Reggie White Jr.,White Jr.,0,0,0,0,0,0,5000,NYG@PHI,NYG,PHI,DROP,,
41364-55976:Ajene Harris,41364-55976,WR,Ajene,Ajene Harris,Harris,0,0,0,0,0,0,4500,NYG@PHI,PHI,NYG,DROP,,
