,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index
24362,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-28157:Bennie Fowler III,49500,24362
24363,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-28157:Bennie Fowler III,49500,24363
24364,41364-28157:Bennie Fowler III,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-83074:Dallas Goedert,41364-6826:Eli Manning,49500,24364
24365,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-83074:Dallas Goedert,41364-27771:Cody Latimer,49000,24365
24366,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-83074:Dallas Goedert,41364-27771:Cody Latimer,49000,24366
24367,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-27771:Cody Latimer,49000,24367
24368,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-27771:Cody Latimer,49000,24368
24369,41364-27771:Cody Latimer,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-83074:Dallas Goedert,41364-6826:Eli Manning,49000,24369
24370,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-71806:Kaden Smith,51500,24370
24371,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-71806:Kaden Smith,51500,24371
24372,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-71806:Kaden Smith,51500,24372
24373,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-71806:Kaden Smith,51500,24373
24374,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,51500,24374
24375,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-64907:JJ Arcega-Whiteside,51000,24375
24376,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-64907:JJ Arcega-Whiteside,51000,24376
24377,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-64907:JJ Arcega-Whiteside,51000,24377
24378,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-64907:JJ Arcega-Whiteside,51000,24378
24379,41364-64907:JJ Arcega-Whiteside,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,51000,24379
24380,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-40434:Greg Ward,49500,24380
24381,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-40434:Greg Ward,49500,24381
24382,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-40434:Greg Ward,49500,24382
24383,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-40434:Greg Ward,49500,24383
24384,41364-40434:Greg Ward,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,49500,24384
24385,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-28157:Bennie Fowler III,49500,24385
24386,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-28157:Bennie Fowler III,49500,24386
24387,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-28157:Bennie Fowler III,49500,24387
24388,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-28157:Bennie Fowler III,49500,24388
24389,41364-28157:Bennie Fowler III,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,49500,24389
24390,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-27771:Cody Latimer,49000,24390
24391,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-27771:Cody Latimer,49000,24391
24392,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-27771:Cody Latimer,49000,24392
24393,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-27771:Cody Latimer,49000,24393
24394,41364-27771:Cody Latimer,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,49000,24394
24395,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-64907:JJ Arcega-Whiteside,50500,24395
24396,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-64907:JJ Arcega-Whiteside,50500,24396
24397,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-71806:Kaden Smith,41364-64907:JJ Arcega-Whiteside,50500,24397
24398,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-64907:JJ Arcega-Whiteside,50500,24398
24399,41364-64907:JJ Arcega-Whiteside,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-6826:Eli Manning,50500,24399
24400,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-40434:Greg Ward,49000,24400
24401,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-40434:Greg Ward,49000,24401
24402,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-71806:Kaden Smith,41364-40434:Greg Ward,49000,24402
24403,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-40434:Greg Ward,49000,24403
24404,41364-40434:Greg Ward,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-6826:Eli Manning,49000,24404
24405,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-28157:Bennie Fowler III,49000,24405
24406,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-28157:Bennie Fowler III,49000,24406
24407,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-71806:Kaden Smith,41364-28157:Bennie Fowler III,49000,24407
24408,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-28157:Bennie Fowler III,49000,24408
24409,41364-28157:Bennie Fowler III,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-6826:Eli Manning,49000,24409
24410,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-27771:Cody Latimer,48500,24410
24411,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-27771:Cody Latimer,48500,24411
24412,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-71806:Kaden Smith,41364-27771:Cody Latimer,48500,24412
