lower,upper,winnings
1,1,400
2,2,250
3,3,150
4,4,125
5,5,100
6,6,75
7,7,50
8,8,40
9,9,30
10,10,20
11,12,10
13,15,8
16,20,6
21,25,5
26,35,4
36,50,3
51,70,2
71,100,1
101,150,0.75
151,250,0.5
251,500,0.3
501,1000,0.25
1001,2000,0.2
2001,10000,0.15
10001,32035,0.1
