Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1911569417,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,71.78,,14374,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CQLNZLMZL,
S1911569412,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,61.38,,44811,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CMSFOTHON,
S1911569408,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,58.12,,56036,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CNUAOCFKF,
S1909227772,nfl,2019/12/08,$20K Sun NFL Squib (Single Entry),$60k,83,,21320,23809,Tournament,1,0,https://www.fanduel.com/entry/AXNQRWJFD,
S1906881601,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,81.72,,69415,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DAPTFLLYQ,
S1906881599,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,63.66,,158809,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DBDQSCXWM,
S1906881595,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.96,,124172,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DFYUCEBDC,
S1906881592,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,67.96,,147794,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DHOMOEKWQ,
S1906881586,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,81.72,,69415,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DEJBQDRJO,
S1906881580,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,63.66,,158809,167664,Tournament,0.05,0,https://www.fanduel.com/entry/ESLVENBEA,
S1906881578,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,86.67,,46913,167664,Tournament,0.05,0,https://www.fanduel.com/entry/ETNQDVYZS,
S1906881574,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.61,,145711,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EQIFFVFMQ,
S1906881571,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,75.91,,104810,167664,Tournament,0.05,0,https://www.fanduel.com/entry/ERKAFEDII,
S1906881566,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,76.36,,102721,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EWTBBWSMU,
S1906881448,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,70.76,,134528,167664,Tournament,0.05,0,https://www.fanduel.com/entry/FBOEMFHQQ,
S1906881445,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,79.36,,83800,167664,Tournament,0.05,0,https://www.fanduel.com/entry/FCCBYWTOM,
S1906881443,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,75.16,,109630,167664,Tournament,0.05,0,https://www.fanduel.com/entry/FCPZLOFMI,
S1906881439,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.26,,128105,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EYWRAWABK,
S1906881435,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,79.96,,79150,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EZKONNLZG,
S1906881426,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,89.77,,34759,167664,Tournament,0.05,0.10,https://www.fanduel.com/entry/ANJNPQWMU,
S1906881420,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,80.51,,75218,167664,Tournament,0.05,0,https://www.fanduel.com/entry/AOLIOZUIM,
S1906881416,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.26,,128105,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CCAEQRSFC,
S1906881410,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,60.96,,163670,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CDBZQAQAU,
S1906881403,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,69.06,,142477,167664,Tournament,0.05,0,https://www.fanduel.com/entry/FGXFIXWVC,
S1906881398,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.66,,145645,167664,Tournament,0.05,0,https://www.fanduel.com/entry/FDDWYFRKE,
S1906881387,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,73.36,,121379,167664,Tournament,0.05,0,https://www.fanduel.com/entry/FEFRXOPFW,
S1906881379,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,64.56,,157324,167664,Tournament,0.05,0,https://www.fanduel.com/entry/FETPKGBDS,
S1906881375,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.46,,125588,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EBIXPHVSE,
S1906881371,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,70.16,,136724,167664,Tournament,0.05,0,https://www.fanduel.com/entry/ECKSOQTNW,
S1906881369,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,73.76,,120353,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DZFHQQAAU,
S1906881363,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,69.46,,140987,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DZTFDHLYQ,
S1906881360,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,60.81,,163777,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EAHCPYXWM,
S1906881357,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,63.11,,159717,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EAVACQJUI,
S1906881330,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,64.41,,157708,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EEALARDHK,
S1906881229,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.81,,144598,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DQCYJFFLK,
S1906881222,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.41,,125759,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DMXNLELYI,
S1906881216,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.11,,147021,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CNUBJIBLC,
S1906881209,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.61,,125107,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BKXHBBHXK,
S1906881208,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,60.51,,164030,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BLLENSTVG,
S1906881204,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.21,,146698,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BLZCAKFTC,
S1906881199,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,75.01,,110787,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BITRCJMGA,
S1906881190,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,60.41,,164121,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DUKEGOWUE,
S1906881185,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,62.71,,160264,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DQQVVWRJG,
S1906881181,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.61,,145711,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DRSQVFPEY,
S1906881180,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,70.61,,135050,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DSGOHXBCU,
S1906881177,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,67.71,,148815,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DXBRRYEJK,
S1906881172,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,69.66,,139841,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DYRKDYOCY,
S1906881167,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,71.66,,130832,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DVZWSPGNS,
S1906881162,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.76,,145064,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CUSUWIWTO,
S1906881153,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,77.41,,96029,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CSBHKZPEI,
S1906881145,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,82.61,,64676,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CSPEXRBCE,
S1906881132,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,71.51,,131726,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CVGSJAIRK,
S1906881128,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,75.21,,109045,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CVUPVRUPG,
S1906881123,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.81,,124475,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BUNNVDOKQ,
S1906881009,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.91,,124282,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EUBNMQTIY,
S1906881002,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,82.91,,62856,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EQWCOPZVW,
S1906880997,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.31,,146358,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EWTAYAAYE,
S1906880992,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.71,,124817,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EYITKAKRS,
S1906880987,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,81.21,,71736,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BYGWFZMUE,
S1906880982,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.01,,129270,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BYUTSQYSA,
S1906880979,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,83.51,,59354,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BZIRFIKPW,
S1906880974,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,61.16,,163139,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BWRDTZDAQ,
S1906880968,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,70.26,,136151,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DLHUUZYSY,
S1906880963,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,61.06,,163269,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DLVSHRKQU,
S1906880955,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,69.16,,142303,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DJEEWIDBO,
S1906880947,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,66.96,,152458,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DONFTASGA,
S1906880940,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,64.76,,156944,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DFYTYDQPW,
S1906880936,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,71.56,,131588,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DGMRKVCNS,
S1906880930,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,71.56,,131588,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DHOMKEAJK,
S1906880925,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,64.66,,157078,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DDVDZLUYM,
S1906880917,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,78.91,,86701,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DEWYYUSUE,
S1906880908,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,82.21,,66854,167664,Tournament,0.05,0,https://www.fanduel.com/entry/ESZSNECOQ,
S1906880898,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,70.11,,136786,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EUBNMNAKI,
S1906880890,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,84.61,,55202,167664,Tournament,0.05,0,https://www.fanduel.com/entry/ERKABDSVC,
S1906633839,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,70.01,,138189,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CBMGVZLGQ,
S1906633836,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,76.61,,101628,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CGHKGAONG,
S1906633833,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,82.91,,62856,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CGVHSSALC,
S1906633830,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,78.01,,92975,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CHJFFJMIY,
S1906633827,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,85.21,,53020,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CHXCSAYGU,
S1906633825,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,73.11,,121905,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CEDUHISVW,
S1906633817,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,75.91,,104810,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CFFPGRQRO,
S1906633809,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,82.71,,63539,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CFTMTJCPK,
S1906633807,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,71.61,,130975,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CKOQDKFWA,
S1906633803,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,79.61,,81419,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CLCNQBRTW,
S1906633798,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,75.21,,109045,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CMEIPKPPO,
S1906633791,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,82.01,,67772,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CJMVDIRHG,
S1906633789,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,83.21,,60717,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CKASQADFC,
S1906633783,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,85.61,,49048,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CQLOMBQFG,
S1906633780,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,84.21,,57361,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CNGDOAWSE,
S1906633774,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,80.01,,78921,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BKXGSLPCI,
S1906633769,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,69.61,,139917,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BLZBRUMYA,
S1906633764,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,75.71,,105489,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BMMZELYVW,
S1906633756,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,81.11,,71824,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CPJTNAEGU,
S1906633750,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,69.01,,142650,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CPXQZRQEQ,
S1906633570,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,79.91,,79423,167664,Tournament,0.05,0,https://www.fanduel.com/entry/ACDOBCGJO,
S1906633558,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,78.11,,89479,167664,Tournament,0.05,0,https://www.fanduel.com/entry/AIAMKMHLW,
S1906633553,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,77.81,,94405,167664,Tournament,0.05,0,https://www.fanduel.com/entry/AFIYZCZWQ,
S1906633541,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,77.11,,98600,167664,Tournament,0.05,0,https://www.fanduel.com/entry/AMVPUNKSM,
S1906633535,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,83.51,,59354,167664,Tournament,0.05,0,https://www.fanduel.com/entry/AKECJEDDG,
S1906633530,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,82.31,,66118,167664,Tournament,0.05,0,https://www.fanduel.com/entry/APNDFWSHS,
S1906633526,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,80.51,,75218,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BRICOUNZS,
S1906633520,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.91,,143313,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BSXVAUXTG,
S1906633516,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,77.01,,99480,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BXSYKWAZW,
S1906633509,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,74.81,,112131,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BVPIMEFIM,
S1906633505,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,79.81,,80220,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BWDFYVRGI,
S1906633503,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,81.41,,70967,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BWRDLNDEE,
S1906633499,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,79.41,,83210,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DKFZNFBAU,
S1906633498,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,79.41,,83210,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DKTWZWMYQ,
S1906633493,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,77.11,,98600,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DLHUMNYWM,
S1906633488,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,76.91,,100148,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DLVRZFKUI,
S1906633482,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,79.11,,85011,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DIQHBERHG,
S1906633477,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,85.41,,50934,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DJSCANPCY,
S1906633470,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,80.51,,75218,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DPPAJXQFG,
S1906633466,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,76.21,,103583,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DMJPLWWSE,
S1906633200,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,87.71,,41294,167664,Tournament,0.05,0.10,https://www.fanduel.com/entry/DKFZNQFWQ,
S1906633191,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,98.35,,8541,167664,Tournament,0.05,0.15,https://www.fanduel.com/entry/DLHUMZDSI,
S1906633181,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,95.95,,14512,167664,Tournament,0.05,0.12,https://www.fanduel.com/entry/DLVRZQPQE,
S1906633169,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,101.15,,3725,167664,Tournament,0.05,0.20,https://www.fanduel.com/entry/CRNJMGXSQ,
S1906633165,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,93.05,,22562,167664,Tournament,0.05,0.10,https://www.fanduel.com/entry/CSBGYYJQM,
S1906633154,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,95.25,,17070,167664,Tournament,0.05,0.12,https://www.fanduel.com/entry/CXKHVQYUY,
S1906633149,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,94.65,,17595,167664,Tournament,0.05,0.12,https://www.fanduel.com/entry/CXYFIIKSU,
S1906633135,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,103.55,,2146,167664,Tournament,0.05,0.20,https://www.fanduel.com/entry/CYMCUZWQQ,
S1906633128,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,101.15,,3725,167664,Tournament,0.05,0.20,https://www.fanduel.com/entry/CZAAHRIOM,
S1906633122,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,101.05,,3837,167664,Tournament,0.05,0.20,https://www.fanduel.com/entry/CVGRWZDDO,
S1906633111,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,92.45,,24281,167664,Tournament,0.05,0.10,https://www.fanduel.com/entry/CVUPJQPBK,
S1906633103,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,101.55,,3378,167664,Tournament,0.05,0.20,https://www.fanduel.com/entry/CWIMWIAZG,
S1906633093,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,97.65,,11039,167664,Tournament,0.05,0.12,https://www.fanduel.com/entry/CWWKIZMXC,
S1906633083,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,97.65,,11039,167664,Tournament,0.05,0.12,https://www.fanduel.com/entry/DBRNTAQDS,
S1906633077,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,92.35,,24769,167664,Tournament,0.05,0.10,https://www.fanduel.com/entry/DCFLFSCBO,
S1906633069,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,98.25,,8661,167664,Tournament,0.05,0.15,https://www.fanduel.com/entry/DCTISJNZK,
S1906633064,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,74.69,,113754,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DDHGFAZXG,
S1906633060,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,74.29,,116821,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CZNXUIUMI,
S1906633056,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,81.09,,71984,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DABVHAGKE,
S1906633054,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,79.89,,79977,167664,Tournament,0.05,0,https://www.fanduel.com/entry/DAPSTRSIA,
S1906632781,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,78.09,,89801,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CWIMWAPCA,
S1906632775,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,66.49,,154027,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CWWKISAZW,
S1906632769,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,68.79,,144863,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CCOBVMCAY,
S1906632767,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,74.59,,114414,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CDBZIDNYU,
S1906632763,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,72.39,,126026,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CDPWUUZWQ,
S1906632757,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,77.39,,96239,167664,Tournament,0.05,0,https://www.fanduel.com/entry/BZWOKCULS,
S1906632754,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,78.99,,85314,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CAKLWUGJO,
S1906632750,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,82.29,,66208,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EXUVPLWRW,
S1906632746,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,70.19,,136262,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CGVHSVTJS,
S1906632743,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,76.99,,99637,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CHXCSERFK,
S1906632740,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,76.99,,99637,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CEDUHMLUM,
S1906632737,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,74.69,,113754,167664,Tournament,0.05,0,https://www.fanduel.com/entry/CFFPGVJQE,
S1906632731,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,84.69,,54430,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EVDIECPCQ,
S1906632726,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,70.09,,137158,167664,Tournament,0.05,0,https://www.fanduel.com/entry/EWFDDLMYI,
S1906632721,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,74.49,,114651,167664,Tournament,0.05,0,https://www.fanduel.com/entry/FBAGNMQEY,
S1906632720,nfl,2019/12/05,$7K Thu NFL Pooch Punt (150 Entries Max),$60k,76.69,,101078,167664,Tournament,0.05,0,https://www.fanduel.com/entry/FBOEAECCU,
