MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
41200-27527:Blake Jarwin,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-79974:Tarik Cohen,41200-31716:Dak Prescott
41200-104421:Jesper Horsted,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-31716:Dak Prescott
41200-104421:Jesper Horsted,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-31716:Dak Prescott
41200-104421:Jesper Horsted,41200-28643:Allen Robinson II,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-31716:Dak Prescott
41200-30733:Cordarrelle Patterson,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-31716:Dak Prescott
41200-30733:Cordarrelle Patterson,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-73273:David Montgomery,41200-31716:Dak Prescott
41200-30733:Cordarrelle Patterson,41200-38628:Mitchell Trubisky,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-31716:Dak Prescott
41200-26458:Tavon Austin,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-73273:David Montgomery,41200-31716:Dak Prescott
41200-26458:Tavon Austin,41200-38628:Mitchell Trubisky,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-31716:Dak Prescott
41200-26458:Tavon Austin,41200-28643:Allen Robinson II,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-31716:Dak Prescott
41200-55042:Dalton Schultz,41200-38791:Ezekiel Elliott,41200-28643:Allen Robinson II,41200-69956:Michael Gallup,41200-31716:Dak Prescott
41200-55042:Dalton Schultz,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-73273:David Montgomery,41200-31716:Dak Prescott
41200-55042:Dalton Schultz,41200-38628:Mitchell Trubisky,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-31716:Dak Prescott
